fs,or1,ng,at,cv,oa,or2,R2 adaboost,RMSE adaboost,MAE adaboost,MPE adaboost,R2 bagging,RMSE bagging,MAE bagging,MPE bagging,R2 decision_tree,RMSE decision_tree,MAE decision_tree,MPE decision_tree,R2 elastic_net,RMSE elastic_net,MAE elastic_net,MPE elastic_net,R2 ensemble_voting_bg_mlp_gd_xgb,RMSE ensemble_voting_bg_mlp_gd_xgb,MAE ensemble_voting_bg_mlp_gd_xgb,MPE ensemble_voting_bg_mlp_gd_xgb,R2 gradient_boosting,RMSE gradient_boosting,MAE gradient_boosting,MPE gradient_boosting,R2 mlp,RMSE mlp,MAE mlp,MPE mlp,R2 random_forest,RMSE random_forest,MAE random_forest,MPE random_forest,R2 ridge,RMSE ridge,MAE ridge,MPE ridge,R2 svr_poly_rbf,RMSE svr_poly_rbf,MAE svr_poly_rbf,MPE svr_poly_rbf,R2 xgboost,RMSE xgboost,MAE xgboost,MPE xgboost
0,1,0,0,0,0,0,0.1374441082336555,3181.3137644318854,2599.529349981234,0.702054505417985,0.3915551468044438,2671.9202560932367,1947.3559783687945,0.4955069516833384,-0.1478639255696883,3669.932573587883,2135.77664893617,0.4667447214173833,0.2127851458354858,3039.20168741494,2336.667889355339,0.6068475986808921,0.3798516419335376,2697.4952002811424,2028.366135842308,0.5435182527959169,0.302987327318542,2859.7839118839856,2150.895582789588,0.5681453024243673,0.205358425641103,3053.504208950588,2376.705884367331,0.6044848211047853,0.3980145121944547,2657.699608270107,1928.867767730496,0.4876511550730443,-0.2443588860570043,3821.076285908064,2801.9283651933792,0.7327393695396861,-0.024406695545577,3466.962033091097,2748.152845085366,0.6839178957364321,0.2947412785759888,2876.6505924972166,2065.9027813850566,0.5369916122558831
0,1,0,0,0,0,0,0.1372097086609972,3360.5457730358416,2731.1383010196464,0.9435610219615072,0.2972950207789768,3032.799542197157,2178.59277641844,0.7383452955223871,-0.2419109975647004,4031.831994768948,2586.255319148936,0.7949300742142444,0.2091028720295707,3217.489880532794,2520.3381727916308,0.8451227176630287,0.3226657383035013,2977.547596720755,2181.27594765792,0.7159748820235976,0.2944268559616707,3038.9825857483725,2216.180466965541,0.7651845743705149,0.1504566079416399,3334.6478177903136,2557.348180594324,0.7618379716723906,0.3069880106823567,3011.8099552589574,2143.4580468676127,0.733438303936705,0.0605307926620614,3506.6988053657938,2630.6009334635355,0.8396700879552363,-6.20524186540905e-05,3618.017511259018,2950.8921902494208,0.979799188102578,0.3083964234158964,3008.7479383343607,2196.0660393897524,0.7630610524685713
0,1,0,0,0,0,0,0.1566754736164122,3203.9316891195035,2526.842444338809,0.7552623058660841,0.3897744943731593,2725.4050754128043,1878.7649468085103,0.5501483372658915,-0.5430757841307319,4333.9062277910025,2657.4040957446805,0.6946732455243535,0.2854034303803222,2949.282310185419,2246.555711838037,0.5869063263024407,0.4133351069715776,2672.273669227511,1896.1859753681483,0.5358677439027989,0.3675869948346609,2774.5098984860037,2017.8598537632208,0.5884906580454381,0.3007528970987856,2917.435211137212,2165.2833477720683,0.5339745092498053,0.387763998660426,2729.8910476995347,1888.0554875886523,0.5442609012068276,0.0462415009617397,3407.258572773463,2547.1502786395345,0.5891755247689547,-0.0009114089636685,3490.468332567191,2725.906669406264,0.7918994562680383,0.3225925560019846,2871.51351580168,1949.4488767193727,0.5247089024417335
0,1,0,0,0,0,0,0.1761833745192027,3099.7918657938726,2497.0906999272183,0.5879307030331802,0.410677131940625,2621.765867114134,1898.7018920212768,0.4363732089713453,0.0649399141445619,3302.4558300717663,2143.1170744680853,0.4573993940160991,0.2322343505895856,2992.4823454617344,2281.179609067117,0.5380207044288249,0.4236666688988068,2592.7110977074867,1928.859449784396,0.4518621699134653,0.3724851274376682,2705.3861967649304,2011.8038649007333,0.4916196265382091,0.28238450445257,2893.0981136879304,2200.496592890174,0.520203642325011,0.3920327908972104,2662.9151975048667,1919.909893085106,0.4429059759888289,0.095112773206931,3248.7364946492908,2397.5343595338136,0.5415420662511803,-0.0236866186765529,3455.419433025708,2643.6808107924994,0.5714715316706894,0.3664496899344416,2718.365264334946,1965.55682827564,0.4522838392470175
0,1,0,0,0,0,0,0.1778320138262367,3218.98388303452,2569.2605596379035,0.7503780360363849,0.380172990592293,2794.9482410625137,1963.1076241134751,0.5851386270361661,-0.6039385216351452,4496.062918349088,2823.2764361702125,0.7420586398380475,0.2760052631786531,3020.690472126939,2326.910853468459,0.6555770073663236,0.4337833136835545,2671.344218911637,1954.014718034084,0.5727368552833161,0.3815462393003145,2791.850370805684,2050.364820759732,0.608558381137542,0.2118512692685079,3151.6835971321343,2393.749358867457,0.6355668556555408,0.3687284324181685,2820.6333452771178,2001.832783687943,0.599069988427541,0.0604257071574677,3441.1538043339665,2622.767155929961,0.7242487980984599,-0.0146052861078413,3575.914131579721,2759.1082561316643,0.7445630861508998,0.4711862599728887,2581.6055532090813,1859.5086932243184,0.5332611604126741
0,1,0,0,0,0,0,0.1721168908964486,3111.6667908557138,2437.959690033883,0.5403806375431142,0.3333625867940268,2792.2443170455517,1896.2922586879436,0.4544166523112655,-0.1896246193656356,3730.0404851787966,2365.6487765957445,0.5433451431504616,0.243330284852012,2974.8272427015345,2300.9983528323714,0.5051508749526108,0.3782854320506524,2696.5227942663755,1950.0579271337024,0.4406168621243762,0.3545815237216586,2747.446667269608,2003.1997612336245,0.4528628375781654,0.1374198331476164,3176.203412679617,2425.307349199022,0.5545890457210982,0.3265223821445892,2806.5330278560978,1906.0871909574464,0.4630455191738833,0.1195169814184319,3208.995189744615,2405.10722861954,0.5278055803639851,-0.0442380371976218,3494.6873524974835,2667.719807837533,0.5524707720950884,0.3460936027845213,2765.4535419518256,1879.8949950652425,0.4248307142827999
0,1,0,0,0,0,0,0.1089020502644688,3035.753196380056,2414.437916087257,0.5345552222039318,0.282517788980798,2724.013826628134,2012.9871473404255,0.4389750797227078,-0.3859478415659056,3785.970119218792,2501.329840425532,0.5405211592632431,0.1876578180016694,2898.499577018753,2244.8460816161705,0.4940505126933561,0.3162214172254858,2659.2641917376327,2026.902581120009,0.4405717168013008,0.3055531764976431,2679.92868095314,2005.3533132749933,0.4437351365322411,0.1565237266923815,2953.5217542875703,2292.9731020416243,0.5083653459560984,0.2850134510641283,2719.272148099445,1988.949300726106,0.4261341373532922,-0.0655990300452418,3319.7138243876616,2500.417237844014,0.528998026632892,-0.040022670159981,3279.632200230338,2525.601172727107,0.5128990039666016,0.1765196484896707,2918.302850621687,2234.2984086706283,0.490815062704617
0,1,0,0,0,0,0,0.1124930405126707,3326.7912437628647,2734.151566916664,0.7910791708443267,0.4115739108374259,2708.8541725808905,1958.85402606383,0.5546067814668458,-0.0667256614471916,3647.254236685703,2277.606436170213,0.613462396271363,0.2889144026459086,2977.834843340089,2406.3476053537565,0.6894878044224777,0.3969126640335552,2742.393497949305,2079.410790654438,0.5932461363158334,0.3582282729056074,2828.9805160546466,2196.9515965043825,0.6163905371782963,0.27977091711253,2996.9189178250776,2370.298678697297,0.6111940399347602,0.4097958997194616,2712.9436751336734,1987.7065024822696,0.5722868619792228,0.1186543783907678,3315.223343579052,2579.72586155224,0.7142602909319827,-0.0336829881249447,3590.321588898443,2893.022340833018,0.7673447336950295,0.2595490916901467,3038.6998273842646,2146.550338420462,0.621284605821904
0,1,0,0,0,0,0,0.1564511998894897,3147.336442910878,2636.089436564209,0.7182164867764104,0.3729557666446583,2713.545783934371,1990.534519680851,0.5558930902944009,0.0489958372625561,3341.790910479245,2116.223404255319,0.5589831162433125,0.3267115453992826,2811.827332082325,2182.695672591611,0.5654605598839767,0.4117160839150543,2628.340044332236,1951.948127271716,0.5309224515197091,0.3689411052266061,2722.2186856066583,2056.410825291296,0.5637158873731994,0.258670147876804,2950.487702460206,2225.7176537935065,0.5564444128171304,0.3811952450556757,2695.6585799645345,1991.2067034194529,0.5644967898483658,0.2409732605218969,2985.496747210514,2238.9875274620763,0.5044378277973612,-0.0284052734232793,3475.123249029276,2888.1855847048423,0.7480483183904563,0.351223463172692,2760.1687336622645,1942.6092009848735,0.5399557586149148
0,1,0,0,0,0,0,0.1013100224911054,3379.209682945778,2476.005775676913,0.6646531897050261,0.1405421750931961,3304.627227544328,2160.691364716312,0.5416178480317818,-0.4719902773582516,4324.766482542052,2642.48914893617,0.5810467474232699,0.0946533660315971,3391.701608973322,2454.0994668144776,0.6300701449036206,0.164808318580479,3257.6413716423253,2244.2099866840063,0.5575635832818624,0.1699948964265633,3247.5105693622504,2270.307203752847,0.5713781695025647,0.0306088065968431,3509.617014115958,2484.9550007569974,0.5979116197204268,0.1555984827249114,3275.553478132861,2156.7433118794324,0.5349241946555177,-0.1873784308616395,3884.2284917365546,2858.786568264528,0.6581087323003862,-0.0117212472115346,3585.4248746905414,2715.332296404445,0.7159435581764525,0.0777352043719541,3423.245196406252,2314.776227793592,0.5889424222228798
