fs,or1,ng,at,cv,oa,or2,R2 adaboost,RMSE adaboost,MAE adaboost,MPE adaboost,R2 bagging,RMSE bagging,MAE bagging,MPE bagging,R2 decision_tree,RMSE decision_tree,MAE decision_tree,MPE decision_tree,R2 elastic_net,RMSE elastic_net,MAE elastic_net,MPE elastic_net,R2 ensemble_voting_bg_mlp_gd_xgb,RMSE ensemble_voting_bg_mlp_gd_xgb,MAE ensemble_voting_bg_mlp_gd_xgb,MPE ensemble_voting_bg_mlp_gd_xgb,R2 gradient_boosting,RMSE gradient_boosting,MAE gradient_boosting,MPE gradient_boosting,R2 mlp,RMSE mlp,MAE mlp,MPE mlp,R2 random_forest,RMSE random_forest,MAE random_forest,MPE random_forest,R2 ridge,RMSE ridge,MAE ridge,MPE ridge,R2 svr_poly_rbf,RMSE svr_poly_rbf,MAE svr_poly_rbf,MPE svr_poly_rbf,R2 xgboost,RMSE xgboost,MAE xgboost,MPE xgboost
0,1,0,0,0,0,0,0.14175159516823305,3205.009600170479,2548.938335612013,0.6791562849409034,0.3201109162585974,2850.6991950567726,2013.5060313495442,0.5319684951469845,-0.27262073674908033,3887.9488903401048,2452.0603617021275,0.5990775191941097,0.250253616742529,2994.50127677584,2299.186045487964,0.5946553307940168,0.359298586843828,2766.928399827028,2027.6537776838552,0.5375696439267381,0.3165889231087124,2858.429858890854,2104.0744548338002,0.5627639650551493,0.21052483447358658,3069.0452495280933,2335.7718187683413,0.5735044693744739,0.31913287979642846,2852.851147288806,2013.8383525612967,0.5332984309589618,0.07061306399642775,3326.7207921451172,2494.4305734303816,0.6143942335497086,-0.021412828941396688,3496.552921100975,2751.4172927355025,0.6956338641787078,0.2909466354257535,2909.2177680478117,2074.6918922680143,0.5480394341476185
0,1,0,0,0,1,0,0.15042919498920598,3185.2948405217744,2473.0339398775236,0.6648906066267373,0.3170860776146358,2853.222228454312,1993.2306911381293,0.5321985991185572,-0.15322603528763062,3689.9586404363013,2426.082844592706,0.6214744388553837,0.2614546616971533,2966.635031680105,2274.418124575578,0.5910685261873238,0.35426127679476077,2773.2119605766165,1995.7994007460638,0.531575493790905,0.2748546992364948,2934.8710906990873,2006.6116462000425,0.530223670886069,0.20244828817144145,3081.5499813168076,2342.004735891828,0.572416138510848,0.3035427816288794,2881.8145176606486,2066.6138311979616,0.5624911424775514,0.07598599678355308,3313.021295500652,2475.203710369963,0.6085670610490216,-0.03686742802490874,3520.3070586441463,2747.7887314423147,0.6956173797594474,0.250781368026836,2985.5987929490425,2085.829795702086,0.5591915890586945
1,0,0,0,0,0,0,0.1190697952520008,3213.2129519698588,2600.935854273595,0.7179012087115371,0.3359825191304823,2790.783231271233,1937.7440698510638,0.507945559007358,-0.24497811873582342,3803.5247271360845,2371.0658744680854,0.5829215968476739,0.2338574311381788,2996.9766123803424,2283.788369215971,0.6147838995862319,0.38406152609836214,2687.4037655300513,1930.6279902155816,0.4978521357514091,0.32102088900412573,2821.4342421392903,2080.8736614466998,0.5475408356412182,0.2059521155381673,3047.5593644478126,2253.1837321840394,0.5181576649881273,0.342729827854324,2775.9544208797265,1929.43006298514,0.5066979377325241,-9.277086714859897e-05,3416.9441020039526,2621.3834949693965,0.6440758613752594,-0.03891218401751591,3490.905076366746,2707.6928196506115,0.6480605448434187,0.29216173449610866,2877.8507429653164,2058.13973607879,0.5190223244163841
1,1,1,1,1,1,0,0.48664588703509537,2476.8234477506126,1796.6433137593797,0.5011718498311102,0.6886355510640568,1924.1910863288006,951.9517545069909,0.24209676142357373,0.5283509952719524,2358.3853458833423,1018.3209463081669,0.2546437092689544,0.5273598093249021,2373.888866723821,1618.8530113778886,0.43561589296225195,0.7161327744413434,1837.0820738737418,963.4516271332859,0.25155513233351895,0.6546182738842847,2023.0149263387395,953.0248331511897,0.24304180857333038,0.5933611059663586,2196.270318026998,1405.2185814228485,0.3502042892029287,0.6850592617747062,1936.225578290857,987.4799110477683,0.2577500256297536,0.4683008907437545,2511.8888595347685,1797.136932815391,0.44182526442547554,-0.052413352901710335,3549.546276813612,2730.020763758803,0.6508846817624753,0.6810095982703744,1946.2555149854907,929.5388788216774,0.2369207854800794
1,1,1,1,0,0,0,0.4900495926944967,2495.2847789125885,1867.6661978623895,0.5281208759784345,0.7138453353915952,1856.57213123985,905.6099643434651,0.23100642915539882,0.4958180716032452,2459.3220392188655,916.6246063829789,0.2096836380466481,0.5296713624512901,2396.913459269055,1638.7360476557828,0.44020631479269107,0.7435267838299471,1758.6422710168254,919.6248920681288,0.22764519452097493,0.7081947905678606,1884.2449343577691,1090.45723278043,0.27571937119872897,0.6179202958707923,2150.6000983923336,1263.364166649789,0.2810818053306152,0.7121276994351428,1860.677580944507,907.4285529756839,0.23011212788525803,0.4333474107621446,2627.706720692949,1878.9176630109241,0.469608070438574,-0.06706214915664716,3611.4214871082427,2737.871050662819,0.6428041862919202,0.7082841117412078,1874.3347481635533,950.9982745110693,0.23891317521474564
1,1,1,0,0,0,0,0.43285793032480074,2570.7036260869613,1895.371868305132,0.5623351878674826,0.718263546310438,1794.3931546667955,813.139326863222,0.2331122108751643,0.5059668066758928,2370.9009779353264,837.0353319148936,0.21658742969861497,0.49469686289995046,2428.668086176462,1680.851131269076,0.48626218595056003,0.7281853395347805,1765.6979531946358,911.8510955676937,0.24439766335623994,0.6753882595875192,1939.3981451738568,1078.2759774565757,0.30006102208802615,0.604873947411385,2133.8905150035594,1278.2797849265107,0.2969298990444521,0.7227411380309675,1778.7676422319223,810.6460090982775,0.23205966395633643,0.4430523449047687,2535.335804600888,1792.5432454539937,0.4641126072780072,-0.024396738472011684,3457.047085350785,2720.6362296013244,0.6896501477720247,0.6730301729073499,1941.6062438138295,943.923957825681,0.2459795947851969
1,1,0,1,0,0,0,0.3629742661878395,2730.4630245079625,2028.804679439726,0.550841951534581,0.4917690891340256,2439.0409064113974,1590.361721315096,0.4020659507855232,0.05065943893129339,3322.2663028464494,1994.408408510638,0.479377798747979,0.3665840469806521,2722.052993292964,1986.747769419844,0.5214697186489087,0.5063467642695868,2401.827493589997,1666.5155997767276,0.4290847255748415,0.4723891122399604,2482.3830796099724,1770.2727910283604,0.45331740739509113,0.2669347492402112,2915.0154052465327,2051.9539604894653,0.4966328925553224,0.4907634418308236,2441.097408637869,1593.5076908642354,0.402165253739087,-0.03825858888635259,3473.6313549800634,2580.753282716514,0.6207851766856498,-0.0694191377417603,3540.9968339598477,2692.86710180205,0.6116515602950422,0.44460534098666293,2544.200779335129,1743.1490431760096,0.4242599495189184
1,0,1,1,1,0,1,0.4782005945816832,2471.836524136336,1862.864225563542,0.527991336519926,0.7478422762507632,1712.64699709513,808.5497415618079,0.2107522977364601,0.5556049076603015,2244.2808514554686,794.7049626035504,0.19820886840323076,0.5551950188756584,2284.325133918053,1569.5665674533457,0.43067183803422365,0.7724357325509623,1626.6433410726331,830.0417141573026,0.209800584343324,0.7313902585352763,1771.2546578500187,1001.6360696103793,0.2509803077692465,0.6717318568382563,1947.0887032731366,1143.5927369092406,0.2563249901387183,0.746550752047387,1716.479116184557,810.8725424739443,0.21143693551442003,0.5157823963224815,2375.919948322935,1686.4821327327168,0.42128589409100103,-0.06468367397433275,3535.037052702388,2716.800098749341,0.639120676467375,0.7409087177198705,1734.8078765364858,857.2241892061218,0.21328365123576704
1,0,1,1,1,1,0,0.47757861813800234,2497.565674933672,1843.2342605121985,0.5186992266173861,0.719886223428561,1819.3960091580655,845.7454511481255,0.21435456271295764,0.5938497138089724,2179.2830721999767,914.339946579353,0.23513486508933276,0.5268190122052652,2374.798883201183,1613.248150631319,0.4353505649731023,0.7452038252756402,1737.8775866421095,871.3450443880627,0.22765063517893325,0.7044339916787343,1864.9646617701073,812.0888116924581,0.2102272635653118,0.6159893736749468,2132.892226015906,1351.2924351367205,0.3412087467722763,0.7098461062397885,1855.1811540103226,918.675095441875,0.24384440772036606,0.5041391701841116,2421.115616392328,1680.1139739188013,0.4178157470447792,-0.021228801853119525,3495.7366114845513,2768.4461473553506,0.7018781081356049,0.7083903872881596,1858.4970813912232,847.3316365545556,0.2156319430908235
1,0,1,1,0,1,1,0.4669750218045192,2532.8953846820073,1884.4113301864907,0.5351203602356831,0.735092006645402,1771.8498537963608,869.1065017075631,0.22745354748736213,0.5674035300171504,2257.3956062116536,1013.9722161700178,0.25956425218362683,0.555729066338165,2312.231881273324,1569.8004587541939,0.4330202268375449,0.7606198270513217,1683.6837379595456,866.414906273504,0.2317807833681328,0.7061441784125563,1860.8406545120379,847.9128791866955,0.22347542991217437,0.6247314823429196,2111.6752355261183,1330.4057084429014,0.3394156361827843,0.7250032180211295,1808.31627430669,942.8276246635822,0.25635226807307987,0.5081353363508071,2422.216913848827,1717.0961256395083,0.4186211396100811,-0.054191603359618465,3565.5718873001456,2707.232160329985,0.6546073853156444,0.7562992501085174,1689.1856006367743,791.9264356446748,0.2120617370423505
