metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.3270979404559178,0.4754087783013703,0.07668819243140015,0.3368974331019875,0.4920667724852118,0.4407058644772992,0.28417190681917776,0.47528009577706515,-0.04941367883905785,-0.06301425189430716,0.43584981004280593
rmse_test,2832.7310841036674,2498.6781155833073,3306.965275293781,2807.991550943506,2458.2868197784546,2579.0535833372314,2902.222058633465,2499.3986671327416,3516.469541849641,3563.576306218501,2590.811695192405
mae_test,2120.41433444283,1642.0064573106383,1964.863235319149,2052.074646949385,1702.6610932033998,1835.1859722507104,2072.881310591589,1640.0118859815602,2558.1978828725955,2723.597668242453,1775.5908620657415
