metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.1492545525643425,0.31127759027957097,-0.1655268806488673,0.2460706071161253,0.3484093237895198,0.2614053000976781,0.1788213859532102,0.2994244125871066,0.08446422584036911,-0.043086310268611386,0.25705868350400746
rmse_test,3089.1015159244375,2778.8379120245136,3603.9144804608786,2905.7519000920297,2702.2369370642828,2874.9494618868375,3030.036369302482,2803.190187764099,3196.3799046460986,3421.499226951032,2882.969230560132
mae_test,2451.7875998910336,1963.2364210070054,2382.6139068644857,2255.9915288347574,1963.7491433689006,1978.0843068161644,2324.392016573429,2037.5838606874354,2399.687996553967,2707.117442556574,2038.4370159866428
