metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.3622535344558402,0.521724862735507,0.19743018785421382,0.34472312809411654,0.5212334060121957,0.471771862435354,0.34689852423809525,0.5172770598770087,0.11322065196949341,-0.03796153868562761,0.4395073457597266
rmse_test,2688.0636980559693,2322.4411124055964,3003.6942079687624,2722.2305332080387,2323.801248167743,2437.6194111840055,2714.5378477904214,2333.415198314013,3163.8466898460047,3434.825514955164,2511.167575964754
mae_test,2026.4508512861844,1558.7703534519976,1857.3415510082727,2036.0158937494407,1602.9885937821703,1577.6887490716906,1988.1408387009394,1593.2485351809385,2361.629979589139,2732.1469209584316,1709.8247576657807
