metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.14175159516823305,0.3201109162585974,-0.27262073674908033,0.250253616742529,0.359298586843828,0.3165889231087124,0.21052483447358658,0.31913287979642846,0.07061306399642775,-0.021412828941396688,0.2909466354257535
rmse_test,3205.009600170479,2850.6991950567726,3887.9488903401048,2994.50127677584,2766.928399827028,2858.429858890854,3069.0452495280933,2852.851147288806,3326.7207921451172,3496.552921100975,2909.2177680478117
mae_test,2548.938335612013,2013.5060313495442,2452.0603617021275,2299.186045487964,2027.6537776838552,2104.0744548338002,2335.7718187683413,2013.8383525612967,2494.4305734303816,2751.4172927355025,2074.6918922680143
