metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.1363362507169277,0.3214190318162594,-0.33990691657031286,0.18988459887444217,0.333333400607406,0.2761847005050242,0.03778679029347078,0.32473636504734754,-0.08856815528000414,-0.03411414270073804,0.24301975311717094
rmse_test,3063.5951712736196,2715.9017674602974,3809.3355856807584,2967.7810583549035,2691.4334694322793,2804.700205876924,3229.5204692922935,2709.5087946564163,3428.793211961681,3352.7361809274735,2865.69679379736
mae_test,2504.1546566129155,1885.6685745927168,2337.9114258823533,2315.48259878971,1981.7480966813634,2122.224896884943,2447.3053063594316,1883.2430746868347,2641.838167502565,2668.0942495989475,2074.7594688697723
