metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.31341008990758157,0.4952445158017656,0.07372121167371475,0.3541360231406721,0.5033588570576742,0.46544864608074954,0.3381442016756974,0.49285824636757275,0.08814381174851015,-0.07139131976963788,0.4336210557003117
rmse_test,2832.641971502891,2421.686522761925,3279.6502905134057,2744.8996218882244,2403.382830980484,2495.7407136894826,2771.576446762331,2428.188112542796,3244.011327225193,3539.7275628138163,2563.5116846703595
mae_test,2205.730627440868,1597.193074803445,1905.9505872340424,2028.100333192971,1670.8551138315327,1789.3853704213004,2000.5226076305587,1602.2945718753801,2385.962629885651,2727.191486191072,1757.7259407714841
