metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.3355444301672935,0.5032282528691026,0.08396440682145051,0.40661349724053003,0.5261697568106042,0.49002908108390025,0.4415203251838167,0.5026619329264093,0.24078316622274015,-0.05702140014208264,0.46374241019993384
rmse_test,2823.4651901896827,2435.6789344194053,3291.1288841735595,2666.3465543037496,2380.6418552722007,2471.2363195395396,2585.0425700735477,2437.3554363129397,3011.595266243969,3568.4829764954047,2527.3938437879715
mae_test,2099.087692129644,1616.2739462158052,1999.576565957447,1986.8249644543123,1658.2819270450511,1777.1676896741153,1862.287760882742,1614.8970512056737,2233.084206881576,2738.945151702096,1738.4122753456925
