metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.463785241902473,0.6842332425751878,0.47320406653591673,0.5292258788668515,0.7077105496477576,0.6495612814541623,0.5413515962262033,0.6740401186746563,0.44282199886812756,-0.02500925104109197,0.6656963586261382
rmse_test,2528.9664596067196,1937.6400726412578,2496.492139274811,2363.303071678977,1865.1556253128113,2035.6381025411738,2332.1424003160423,1970.1614026105203,2546.2525426125817,3500.0850324519297,1996.0949201296671
mae_test,1841.4426904725158,969.3394786301923,1183.9579736621176,1692.215150140105,1026.8511681479813,969.3889605590307,1631.093115550755,1055.4086688199757,1754.914706459584,2780.9633825409314,984.7621908768025
