metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.13673042976662952,0.24564826855352265,-0.4030152796486747,0.16198709780433915,0.2662087339938855,0.19935116725398483,0.02080280519294841,0.2465308291344965,-0.2503503059741279,-0.03662764501226214,0.1854638509950711
rmse_test,3211.865428654182,3004.99428128501,4084.343409585037,3164.9349412475945,2960.754588649143,3092.682881542771,3412.0627879527296,3002.9457921258877,3844.0066984634673,3519.4590080450935,3117.596521172888
mae_test,2524.3842566709122,2097.8282995167174,2622.796963829787,2416.4426358233436,2133.0697078240696,2284.0353766701064,2507.878642870334,2097.6487153566363,2953.55421250802,2711.0503165823466,2229.3605593717534
