metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.14057338300755332,0.31475159658264174,-0.26574105633022393,0.24190523839374017,0.35346265603775523,0.30810840154999486,0.19782085399731972,0.315031024091056,0.043913834478092426,-0.028279335257900256,0.28715384906139113
rmse_test,3205.7210711030975,2861.967727624092,3874.5566936401005,3008.0970455740735,2778.999524972801,2874.596065646744,3089.2553760163464,2861.5085048195338,3371.5863246970284,3507.087090608489,2917.2009826508706
mae_test,2528.0573446775024,2003.1415429263088,2434.286839574468,2305.467114752594,2028.0653385347925,2107.4629797589496,2341.836725061679,2002.133040000338,2521.6565441636617,2741.5379941655224,2087.4336228760285
