metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.15042919498920598,0.3170860776146358,-0.15322603528763062,0.2614546616971533,0.35426127679476077,0.2748546992364948,0.20244828817144145,0.3035427816288794,0.07598599678355308,-0.03686742802490874,0.250781368026836
rmse_test,3185.2948405217744,2853.222228454312,3689.9586404363013,2966.635031680105,2773.2119605766165,2934.8710906990873,3081.5499813168076,2881.8145176606486,3313.021295500652,3520.3070586441463,2985.5987929490425
mae_test,2473.0339398775236,1993.2306911381293,2426.082844592706,2274.418124575578,1995.7994007460638,2006.6116462000425,2342.004735891828,2066.6138311979616,2475.203710369963,2747.7887314423147,2085.829795702086
