metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.12706557933206508,0.2705551685687069,-0.14426213342645433,0.1882604246273205,0.31298331789110995,0.20986821850724657,0.14441356359786664,0.2585993887573529,-0.049328238446142286,-0.028890804902432617,0.22586557483705658
rmse_test,3227.5350752119157,2949.1789278487386,3683.0795671208766,3112.3136725361915,2862.7201840359735,3067.4189614339375,3190.9027520263694,2973.9044511956267,3528.136287637861,3505.8990568159434,3034.9456930492656
mae_test,2559.14125506389,2037.7410304607904,2443.0349328844522,2376.7496226829453,2021.8859950468343,2104.399862988171,2389.7587736753694,2106.8253541718286,2691.4155171508937,2767.2494795617677,2116.2409760292344
