metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.31954116271818717,0.5075265912128842,0.23767939620359665,0.34426670509909324,0.5161265169925767,0.47066740916161687,0.3692921971169064,0.49300972180913727,0.13002121684746343,-0.018624507535179757,0.4407310184682101
rmse_test,2830.525394488331,2403.787589453602,2982.1198361312163,2776.7651408315664,2383.031233776039,2492.248607257431,2721.7937618567603,2440.3152747328922,3187.0506176950503,3468.599079299857,2561.7007386053606
mae_test,2093.635350393238,1549.9050438520771,1842.5500952468055,2046.8469573390012,1591.6271285599348,1575.8193298501053,1952.669685552166,1624.2533924930976,2377.1864854653354,2737.7562863272037,1697.435713240733
