tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,1982.5366394042744,748.6527363554139,1.6601920449298997,0.9527035975257965,0.6668018389839447,-0.3000527692676796,351.79502297830373,976.296189574468,1.785473637244055,0.09235629690335909,0.24728468965989575,1.6838631470719285,500
ensemble_voting_bg_mlp_gd_xgb,1859.4340183730842,599.145325711221,2.163898172113339,0.9691674926889743,0.7082584180087248,-0.2690163888033149,372.78240009923036,979.6769794964932,1.6735979943060362,0.10037563289206974,0.26175257397911705,1.7053969400164362,500
svr_poly_rbf,3549.9582358282655,3512.547719918662,0.011519292266781788,-0.04140530684616213,-0.05248847527044975,0.4673768058052318,2710.5502440991745,2725.4813839411163,0.006769071777597913,0.6680853726672632,0.6469563275245791,-0.027961167011428634,500
gradient_boosting,2125.7855252902323,195.77267135178775,10.830278045863766,0.9964972028631752,0.6170919501540875,-0.38078378596229234,69.58457601498073,979.9630475334254,13.171502260679613,0.02011779663693612,0.2648565550064824,12.453062666651087,500
decision_tree,2382.8274159208277,1089.4255391623392,1.197882394747062,0.8989044680563987,0.5148379979437377,-0.4277369235781424,374.2052368393369,1027.7629952004172,1.817109652718689,0.12103413165767611,0.26111321357624523,1.3240702202936432,500
elastic_net,2359.322870912297,2117.7017013699565,0.11634710244732102,0.6214527869132499,0.5330732658595874,-0.14065935773721944,1474.325810901792,1613.3096706658007,0.09551101027117188,0.41405270490853363,0.435737748812533,0.05399617806200492,500
random_forest,1940.2937619142206,1018.3497524447081,0.9097246873196635,0.9121926502578965,0.682743265146217,-0.2514720428371711,514.6491266713992,979.495372557995,0.9064302108454687,0.15452895562062102,0.25747167740811655,0.6948523778958126,500
adaboost,2479.1278006673956,2221.7995640472395,0.11848358370939913,0.5830626030614005,0.48510601852742286,-0.16559823327107293,1673.9014901307673,1797.9100887369277,0.07614885110187479,0.49187516556890987,0.5089961957777949,0.03808520159568196,500
mlp,2176.5805106693883,1746.160740073726,0.2652581821320322,0.7399720140590802,0.5988142710422748,-0.19118254718172475,1162.0223415510322,1413.7539860658992,0.22575650698285213,0.3072838186197749,0.3519299935868637,0.15413880440048688,500
ridge,2509.0693174603657,1180.4146759822063,1.1244367210523678,0.8823080286427046,0.47188662900585576,-0.4652053649783313,877.0065166791462,1792.611228921,1.0436363880689383,0.2262400495340584,0.4445158688829446,0.9688389430841411,500
xgboost,1936.0641368695701,164.6283587763391,14.172867343531758,0.9973181130055091,0.684068066013886,-0.31408665374713357,29.194579576119867,915.5114325860206,31.438475561203354,0.00745363321107467,0.24391104784598844,32.65979447057341,500
bagging,1915.4572131761283,704.9056342685018,1.7209576423711312,0.9575840197599998,0.6916633884447354,-0.2777945435376622,340.0487970414201,944.3722420871327,1.7977309447721495,0.0883436440275061,0.23505965176757632,1.684845587105324,500
ensemble_voting_bg_mlp_gd_xgb,1853.5783867709445,574.3147550751747,2.2631113019524256,0.9715751192025159,0.7119003379092705,-0.2671549646651877,348.1960826886444,961.6001588685958,1.7897627266984102,0.0985745591260474,0.2530794155422038,1.5661185675384754,500
svr_poly_rbf,3583.8856938773547,3508.8299419446826,0.021501728159643463,-0.0509639091187142,-0.07603669583794237,-19.698255260855852,2703.9632154593905,2754.669212796093,0.021151452821769823,0.6655691359580282,0.651661042143164,-0.021797730362139146,500
gradient_boosting,2140.4790570083032,216.7891322074413,8.964535815909283,0.9958373859999121,0.6158154622444872,-0.38169118617897196,72.24191917442607,1010.1988639478966,13.258912132469508,0.02008361692116547,0.257795708674185,12.482397186423835,500
decision_tree,2369.6728677320257,1073.1533283178248,1.2026201305665825,0.901297030358676,0.5296659679243156,-0.41311104033219437,364.1634559335735,1046.223116948137,1.8721572095785377,0.1191367017208105,0.25551536696528704,1.1606894817083084,500
elastic_net,2348.7874562441366,2114.2856700710026,0.11455115125675623,0.6187223927731309,0.5370095795631388,-0.1300844816660417,1479.4102857200864,1610.0411056633664,0.09046290072765113,0.41718640691890324,0.4334118078433452,0.04015971265448841,500
random_forest,1924.7979341549465,1015.8234887516246,0.8993975355686914,0.9119363247169161,0.6886908244063926,-0.2448451359424914,510.28132876082907,991.356051382267,0.9538373059989251,0.1549351383472122,0.2567475166102414,0.6661615118122148,500
adaboost,2440.128417805212,2211.0975587921394,0.10676224009635449,0.5830143263084006,0.5015045565536066,-0.138124908328555,1656.8366714963067,1754.395877487017,0.06043760136689007,0.4811964269793661,0.48374482465275026,0.011701671720609519,500
mlp,2101.7523839947894,1546.7605821549332,0.3492047430551311,0.7946947164865044,0.6257158406753748,-0.21650800451547578,1012.1498191479666,1317.6571458304434,0.2977364965045989,0.27638534314892016,0.33142574127463903,0.2107174678097809,500
ridge,2430.477694697974,1180.6321273983815,1.0618323906869793,0.8811452114782481,0.5027893818376945,-0.4293949092434617,873.9020344954719,1769.9489652351526,1.0309644995030482,0.22788582372856786,0.4419577410561126,0.9444148848854408,500
xgboost,1910.838451301189,189.3779667831837,10.276540862504373,0.996653640263135,0.6938417931385893,-0.3038582203262456,29.86159945516191,903.0882195160236,29.327649198899138,0.00770483448664106,0.22917355225403183,29.419511262582233,500
bagging,1862.0277413912645,723.9755084828741,1.5971591627710453,0.9559804731022641,0.7107675498389993,-0.2563244948302362,350.719247061144,935.3212074670721,1.69672854770648,0.09357693277092019,0.23786695735182564,1.6060288847922188,500
