metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.3145092218788166,0.4875545300029809,0.1583325087773683,0.35358581723143934,0.505639977318952,0.4497451287150395,0.3727007936276341,0.4806808537755261,0.1500222638710374,-0.02451604780500573,0.4341018691474611
rmse_test,2857.8304673573357,2470.1996608454942,3152.76540660107,2773.9634665313242,2426.6453413853833,2556.169103474777,2729.0693791104736,2486.888692306842,3173.128607730106,3498.799770099021,2594.086261273302
mae_test,2145.8055150233918,1615.5135191073289,1982.3790038843536,2037.8863005190374,1627.8874311537088,1633.4117183339438,1956.8395333940803,1677.2311816394335,2356.323234749411,2767.0636699501197,1723.8272806396483
