metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.13456420397882732,0.3275921230531027,-0.09942413470586565,0.27424971682507965,0.3715137308894254,0.2992285119608637,0.22882939976825475,0.30891071002367815,0.10531736825458882,-0.01639095405531289,0.28005075149954545
rmse_test,3216.5518332116008,2834.3027619915283,3608.0881470363183,2942.527972307341,2739.469966169916,2890.7615030384413,3030.5488077123223,2873.749105642489,3261.963901427073,3486.059537107543,2930.364910042261
mae_test,2527.6923845082406,1969.5796132733535,2390.0706678686574,2253.515274885469,1963.2305255171282,1979.5203754990878,2290.0664691627976,2061.5057752840203,2436.8794520598226,2776.1853057820013,2048.6401496869807
