metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.1190697952520008,0.3359825191304823,-0.24497811873582342,0.2338574311381788,0.38406152609836214,0.32102088900412573,0.2059521155381673,0.342729827854324,-9.277086714859897e-05,-0.03891218401751591,0.29216173449610866
rmse_test,3213.2129519698588,2790.783231271233,3803.5247271360845,2996.9766123803424,2687.4037655300513,2821.4342421392903,3047.5593644478126,2775.9544208797265,3416.9441020039526,3490.905076366746,2877.8507429653164
mae_test,2600.935854273595,1937.7440698510638,2371.0658744680854,2283.788369215971,1930.6279902155816,2080.8736614466998,2253.1837321840394,1929.43006298514,2621.3834949693965,2707.6928196506115,2058.13973607879
