metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.3236358195911799,0.511218752004941,0.16330936651091146,0.36190154545879466,0.5219995138533171,0.47541649827389415,0.34289814080728986,0.5115663043332538,0.15793676729570139,-0.0647222343026833,0.46795033509313766
rmse_test,2839.7826054524508,2412.8729717668334,3148.6856614162893,2754.0392506838634,2385.790637469848,2500.070098112779,2784.940615045187,2411.8539295746305,3157.7909919255385,3567.448583394562,2515.685782524124
mae_test,2172.5284312577846,1571.6921875525836,1843.861452340425,2010.9133784763947,1645.2846568310663,1788.9813053883706,1965.2069352692467,1572.014565482067,2338.4724265056198,2722.5517072375283,1725.8835168346645
