metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.07502877239734279,0.2715921047985485,-0.3311300014898945,0.14259717312477505,0.26635532278039203,0.20385933417393529,-0.02331483137346832,0.27070226809493975,-0.16828573427549265,-0.05500506771024883,0.19972505487738806
rmse_test,3323.7664526629633,2950.521980220432,3971.0631168132963,3202.3975737142064,2962.3044744247363,3085.201320583076,3493.2463881879003,2952.722092823001,3732.0309383297176,3553.2531168944406,3091.2667269295257
mae_test,2707.239569292763,2030.345871646962,2454.4995221276595,2471.8836414123916,2128.96214272522,2283.0128614154946,2522.668424786147,2035.348597642148,2835.518197193471,2727.3478711646153,2205.5394401992085
