metric,Adaboost,Bagging,Decision Tree,Elastic Net,Ensemble Voting,Gradient Boosting,Neural Network,Random Forest,Ridge,SVM RBF,XGBoosting
r2_test,0.31646907143396874,0.5012585485635133,0.16796111711273684,0.4077007383133672,0.5220252071288983,0.4572151310058913,0.4044716937801867,0.4887166111594922,0.24550803084210387,-0.019154207798617654,0.4525523018845277
rmse_test,2858.1540539772104,2439.625088889188,3142.655250804205,2656.892289997047,2387.241796407264,2542.387222480842,2662.385669172045,2470.2801479144487,2988.4581609814595,3493.151804166207,2553.647716925192
mae_test,2117.0226171491922,1612.2313591286727,2009.4625161113113,1971.4137356398608,1615.9566936821209,1638.8194307000917,1940.507297066326,1680.2645548428297,2200.1873599753676,2776.5331658059267,1714.0057409200465
