;Unnamed: 0;algorithm;mse;rmse;r2;adj_r2;mae
42;42;air_transport/word2vec_cbow_10000000_100,txt;39716315,16;6302,09;0,1292;1,8367;4879,95
43;43;air_transport/word2vec_cbow_10000000_100,txt;41486032,68;6440,97;0,0904;1,8739;4965,07
44;44;air_transport/word2vec_cbow_10000000_100,txt;41236252,96;6421,55;0,0959;1,8687;5002,28
45;45;air_transport/word2vec_cbow_10000000_100,txt;40713818,03;6380,74;0,1073;1,8577;4911,04
46;46;air_transport/word2vec_cbow_10000000_100,txt;41425884,27;6436,29;0,0917;1,8727;4993,79
47;47;air_transport/word2vec_cbow_10000000_100,txt;40704076,29;6379,97;0,1075;1,8575;4943,26
48;48;air_transport/word2vec_cbow_10000000_100,txt;41810214,81;6466,08;0,0833;1,8808;5013,05
49;49;air_transport/word2vec_cbow_10000000_100,txt;41020599,71;6404,73;0,1006;1,8641;4984,67
0;0;air_transport/glove_100000000_100,txt,txt;32825111,93;5729,32;-0,0085;1,969;4223,19
1;1;air_transport/glove_100000000_100,txt,txt;31050878,21;5572,33;0,046;1,9166;4240,73
2;2;air_transport/glove_100000000_100,txt,txt;32121252,25;5667,56;0,0131;1,9482;4163,22
3;3;air_transport/glove_100000000_100,txt,txt;31909817,8;5648,88;0,0196;1,9419;4180,42
4;4;air_transport/glove_100000000_100,txt,txt;31760543,02;5635,65;0,0242;1,9375;4206,83
5;5;air_transport/glove_100000000_100,txt,txt;30593056,57;5531,1;0,0601;1,9031;4240,1
6;6;air_transport/glove_100000000_100,txt,txt;31899843,43;5647,99;0,0199;1,9417;4234,98
7;7;air_transport/glove_100000000_100,txt,txt;31749178,48;5634,64;0,0245;1,9372;4200,35
8;8;air_transport/glove_100000000_100,txt,txt;30695017,5;5540,31;0,0569;1,9061;4323,32
9;9;air_transport/glove_100000000_100,txt,txt;31496065,14;5612,14;0,0323;1,9297;4208,82
10;10;air_transport/glove_100000000_100,txt,txt;33956945,84;5827,26;-0,0433;2,0024;4122,37
11;11;air_transport/glove_100000000_100,txt,txt;32553428,5;5705,56;-0,0002;1,9609;4181,78
12;12;air_transport/glove_100000000_100,txt,txt;35244589,23;5936,72;-0,0828;2,0404;4200,21
13;13;air_transport/glove_100000000_100,txt,txt;31175235,56;5583,48;0,0422;1,9203;4242,1
14;14;air_transport/glove_100000000_100,txt,txt;31101849,19;5576,9;0,0444;1,9181;4267
15;15;air_transport/glove_100000000_100,txt,txt;32543423,75;5704,68;0,0001;1,9606;4179,68
16;16;air_transport/glove_100000000_100,txt,txt;31520358,13;5614,3;0,0316;1,9304;4167,18
17;17;air_transport/glove_100000000_100,txt,txt;31693242,88;5629,68;0,0263;1,9356;4256,23
18;18;air_transport/glove_100000000_100,txt,txt;35904537,02;5992,04;-0,1031;2,0599;4172,05
19;19;air_transport/glove_100000000_100,txt,txt;31046062,6;5571,9;0,0461;1,9164;4192,28
20;20;air_transport/glove_100000000_100,txt,txt;33099553,05;5753,22;-0,0169;1,9771;4144,86
21;21;air_transport/glove_100000000_100,txt,txt;31658128,48;5626,56;0,0273;1,9345;4213,34
22;22;air_transport/glove_100000000_100,txt,txt;32764616,37;5724,04;-0,0067;1,9672;4129,68
23;23;air_transport/glove_100000000_100,txt,txt;32331553,59;5686,08;0,0067;1,9544;4200,41
24;24;air_transport/glove_100000000_100,txt,txt;30737652,28;5544,15;0,0556;1,9073;4262,06
25;25;air_transport/glove_100000000_100,txt,txt;30977344,25;5565,73;0,0483;1,9144;4305,32
26;26;air_transport/glove_100000000_100,txt,txt;31694098,3;5629,75;0,0262;1,9356;4155,66
27;27;air_transport/glove_100000000_100,txt,txt;33197565,14;5761,73;-0,02;1,98;4191,78
28;28;air_transport/glove_100000000_100,txt,txt;31852490,65;5643,8;0,0214;1,9403;4213
29;29;air_transport/glove_100000000_100,txt,txt;31945674,18;5652,05;0,0185;1,943;4106,89
30;30;air_transport/glove_100000000_100,txt,txt;31457466,71;5608,7;0,0335;1,9286;4211,97
31;31;air_transport/glove_100000000_100,txt,txt;34688870,58;5889,73;-0,0658;2,024;4197,19
32;32;air_transport/glove_100000000_100,txt,txt;30618157,89;5533,37;0,0593;1,9038;4264,16
33;33;air_transport/glove_100000000_100,txt,txt;31329262,13;5597,25;0,0374;1,9248;4233,09
34;34;air_transport/glove_100000000_100,txt,txt;31265393,06;5591,55;0,0394;1,9229;4290,11
35;35;air_transport/glove_100000000_100,txt,txt;30357201,43;5509,74;0,0673;1,8961;4239,49
36;36;air_transport/glove_100000000_100,txt,txt;31635245,07;5624,52;0,028;1,9338;4226,86
37;37;air_transport/glove_100000000_100,txt,txt;33930008,93;5824,95;-0,0425;2,0016;4120,05
38;38;air_transport/glove_100000000_100,txt,txt;32439671,6;5695,58;0,0033;1,9576;4090,61
39;39;air_transport/glove_100000000_100,txt,txt;31322050,99;5596,61;0,0377;1,9246;4234,02
40;40;air_transport/glove_100000000_100,txt,txt;32993863,16;5744,03;-0,0137;1,9739;4163,59
41;41;air_transport/glove_100000000_100,txt,txt;31114270,35;5578,02;0,044;1,9185;4192,6
42;42;air_transport/glove_100000000_100,txt,txt;31147697,61;5581,01;0,043;1,9194;4234,16
43;43;air_transport/glove_100000000_100,txt,txt;31880557,91;5646,29;0,0205;1,9411;4245,92
44;44;air_transport/glove_100000000_100,txt,txt;32036623,96;5660,09;0,0157;1,9457;4191,37
45;45;air_transport/glove_100000000_100,txt,txt;32135966,25;5668,86;0,0127;1,9486;4182,17
46;46;air_transport/glove_100000000_100,txt,txt;32167688,41;5671,66;0,0117;1,9496;4219,51
47;47;air_transport/glove_100000000_100,txt,txt;31274804,43;5592,39;0,0391;1,9232;4245,7
48;48;air_transport/glove_100000000_100,txt,txt;31072910,57;5574,31;0,0453;1,9172;4260,2
49;49;air_transport/glove_100000000_100,txt,txt;31457072,88;5608,66;0,0335;1,9286;4250,29
0;0;air_transport/glove_100000000_100,txt,txt;25860415,55;5085,31;0,0842;1,8799;3598,08
1;1;air_transport/glove_100000000_100,txt,txt;26949043,22;5191,25;0,0456;1,9169;3743,06
2;2;air_transport/glove_100000000_100,txt,txt;27125458,57;5208,21;0,0394;1,9229;3619,94
3;3;air_transport/glove_100000000_100,txt,txt;27381235,95;5232,71;0,0303;1,9316;3683,51
4;4;air_transport/glove_100000000_100,txt,txt;27495063,61;5243,57;0,0263;1,9355;3646,09
5;5;air_transport/glove_100000000_100,txt,txt;27700524,79;5263,13;0,019;1,9425;3722,55
6;6;air_transport/glove_100000000_100,txt,txt;27176530,25;5213,11;0,0376;1,9247;3598,27
7;7;air_transport/glove_100000000_100,txt,txt;27487761,55;5242,88;0,0266;1,9353;3729,46
8;8;air_transport/glove_100000000_100,txt,txt;27777280,71;5270,42;0,0163;1,9451;3697,33
9;9;air_transport/glove_100000000_100,txt,txt;26698595,05;5167,07;0,0545;1,9084;3671,32
10;10;air_transport/glove_100000000_100,txt,txt;26805060,17;5177,36;0,0507;1,912;3627,62
11;11;air_transport/glove_100000000_100,txt,txt;26246103,51;5123,1;0,0705;1,893;3728,99
12;12;air_transport/glove_100000000_100,txt,txt;26976036,99;5193,85;0,0447;1,9178;3714,47
13;13;air_transport/glove_100000000_100,txt,txt;28274250,05;5317,35;-0,0013;1,962;3693,76
14;14;air_transport/glove_100000000_100,txt,txt;27589241,87;5252,55;0,023;1,9387;3712,49
15;15;air_transport/glove_100000000_100,txt,txt;27559054,2;5249,67;0,024;1,9377;3659,03
16;16;air_transport/glove_100000000_100,txt,txt;26559362,8;5153,58;0,0594;1,9037;3702,52
17;17;air_transport/glove_100000000_100,txt,txt;28459337,38;5334,73;-0,0078;1,9683;3677,36
18;18;air_transport/glove_100000000_100,txt,txt;27336019,29;5228,39;0,0319;1,9301;3702,47
19;19;air_transport/glove_100000000_100,txt,txt;27781055,99;5270,77;0,0162;1,9452;3701,65
20;20;air_transport/glove_100000000_100,txt,txt;26953664,1;5191,69;0,0455;1,9171;3700,62
21;21;air_transport/glove_100000000_100,txt,txt;28930907,36;5378,75;-0,0245;1,9844;3748,44
22;22;air_transport/glove_100000000_100,txt,txt;27348037,18;5229,54;0,0315;1,9305;3720,69
23;23;air_transport/glove_100000000_100,txt,txt;27723084,94;5265,27;0,0182;1,9433;3706,65
24;24;air_transport/glove_100000000_100,txt,txt;26842908,92;5181,01;0,0494;1,9133;3756,98
25;25;air_transport/glove_100000000_100,txt,txt;25994731,75;5098,5;0,0794;1,8845;3668,05
26;26;air_transport/glove_100000000_100,txt,txt;28897093,39;5375,6;-0,0233;1,9832;3746,46
27;27;air_transport/glove_100000000_100,txt,txt;26820598,84;5178,86;0,0502;1,9126;3771,37
28;28;air_transport/glove_100000000_100,txt,txt;28614030,35;5349,21;-0,0133;1,9736;3725,77
29;29;air_transport/glove_100000000_100,txt,txt;27856805,36;5277,95;0,0135;1,9478;3677,19
30;30;air_transport/glove_100000000_100,txt,txt;25939692,61;5093,1;0,0814;1,8826;3711,21
31;31;air_transport/glove_100000000_100,txt,txt;27683916,15;5261,55;0,0196;1,9419;3675,58
32;32;air_transport/glove_100000000_100,txt,txt;27048224,15;5200,79;0,0421;1,9203;3752,36
33;33;air_transport/glove_100000000_100,txt,txt;27428298,56;5237,2;0,0287;1,9332;3631,8
34;34;air_transport/glove_100000000_100,txt,txt;28051389,92;5296,36;0,0066;1,9544;3656,79
35;35;air_transport/glove_100000000_100,txt,txt;26621459,79;5159,6;0,0572;1,9058;3682,27
36;36;air_transport/glove_100000000_100,txt,txt;27569454,11;5250,66;0,0237;1,938;3715,36
37;37;air_transport/glove_100000000_100,txt,txt;27908670,5;5282,87;0,0117;1,9496;3693,79
38;38;air_transport/glove_100000000_100,txt,txt;27070839,38;5202,96;0,0413;1,9211;3712,64
39;39;air_transport/glove_100000000_100,txt,txt;26323427,05;5130,64;0,0678;1,8956;3592,14
40;40;air_transport/glove_100000000_100,txt,txt;26640913,88;5161,48;0,0566;1,9064;3643,23
41;41;air_transport/glove_100000000_100,txt,txt;26415353,55;5139,59;0,0645;1,8988;3726,62
42;42;air_transport/glove_100000000_100,txt,txt;25736036,26;5073,07;0,0886;1,8757;3604,91
43;43;air_transport/glove_100000000_100,txt,txt;26576042,6;5155,2;0,0589;1,9042;3647,05
44;44;air_transport/glove_100000000_100,txt,txt;26138745,82;5112,61;0,0743;1,8894;3654,88
45;45;air_transport/glove_100000000_100,txt,txt;28332414,25;5322,82;-0,0033;1,964;3717,58
46;46;air_transport/glove_100000000_100,txt,txt;27221071,76;5217,38;0,036;1,9262;3688,08
47;47;air_transport/glove_100000000_100,txt,txt;26844187,72;5181,14;0,0494;1,9134;3704,44
48;48;air_transport/glove_100000000_100,txt,txt;26427130,45;5140,73;0,0641;1,8992;3596,54
49;49;air_transport/glove_100000000_100,txt,txt;27834387,26;5275,83;0,0143;1,9471;3754,69
