;Unnamed: 0;algorithm;mse;rmse;r2;adj_r2;mae
47;47;air_transport/word2vec_cbow_10000000_100,txt;24077944,9;4906,93;0,0293;1,9326;4096,16
48;48;air_transport/word2vec_cbow_10000000_100,txt;23047296,68;4800,76;0,0709;1,8927;4036,97
49;49;air_transport/word2vec_cbow_10000000_100,txt;21955400,92;4685,66;0,1149;1,8504;3914,95
0;0;air_transport/word2vec_cbow_10000000_100,txt;33819945,42;5815,49;0,0584;1,9047;4037,25
1;1;air_transport/word2vec_cbow_10000000_100,txt;33614463,5;5797,8;0,0641;1,8992;3967,94
2;2;air_transport/word2vec_cbow_10000000_100,txt;34126528,22;5841,79;0,0499;1,9129;4057,16
3;3;air_transport/word2vec_cbow_10000000_100,txt;34304636,2;5857,02;0,0449;1,9176;4099,56
4;4;air_transport/word2vec_cbow_10000000_100,txt;33362097,5;5775,99;0,0712;1,8924;4027,49
5;5;air_transport/word2vec_cbow_10000000_100,txt;34282038,01;5855,09;0,0456;1,917;4056,08
6;6;air_transport/word2vec_cbow_10000000_100,txt;34239884,83;5851,49;0,0467;1,9159;4065,45
7;7;air_transport/word2vec_cbow_10000000_100,txt;32862323,38;5732,57;0,0851;1,879;4032,46
8;8;air_transport/word2vec_cbow_10000000_100,txt;33520608,56;5789,7;0,0668;1,8966;4045,56
9;9;air_transport/word2vec_cbow_10000000_100,txt;34240910,85;5851,57;0,0467;1,9159;4050,06
10;10;air_transport/word2vec_cbow_10000000_100,txt;34453839,86;5869,74;0,0408;1,9216;4054,4
11;11;air_transport/word2vec_cbow_10000000_100,txt;33683176,8;5803,72;0,0622;1,901;4042,58
12;12;air_transport/word2vec_cbow_10000000_100,txt;33811507,81;5814,77;0,0587;1,9044;4029,04
13;13;air_transport/word2vec_cbow_10000000_100,txt;34104882,49;5839,94;0,0505;1,9123;4049,66
14;14;air_transport/word2vec_cbow_10000000_100,txt;33433361,83;5782,16;0,0692;1,8943;4030,71
15;15;air_transport/word2vec_cbow_10000000_100,txt;33545300,5;5791,83;0,0661;1,8973;3997,75
16;16;air_transport/word2vec_cbow_10000000_100,txt;34143620,69;5843,25;0,0494;1,9133;4009,62
17;17;air_transport/word2vec_cbow_10000000_100,txt;34211494,79;5849,06;0,0475;1,9151;4036,17
18;18;air_transport/word2vec_cbow_10000000_100,txt;33383513,09;5777,85;0,0706;1,893;4033,45
19;19;air_transport/word2vec_cbow_10000000_100,txt;34160294,32;5844,68;0,0489;1,9138;4061,78
20;20;air_transport/word2vec_cbow_10000000_100,txt;33058500,59;5749,65;0,0796;1,8843;3978,58
21;21;air_transport/word2vec_cbow_10000000_100,txt;34410558,95;5866,05;0,042;1,9204;4105,06
22;22;air_transport/word2vec_cbow_10000000_100,txt;33888678,83;5821,4;0,0565;1,9065;4039,74
23;23;air_transport/word2vec_cbow_10000000_100,txt;34160759,94;5844,72;0,0489;1,9138;4051,95
24;24;air_transport/word2vec_cbow_10000000_100,txt;33307101,76;5771,23;0,0727;1,8909;4021,92
25;25;air_transport/word2vec_cbow_10000000_100,txt;34360485,71;5861,78;0,0434;1,9191;4070,14
26;26;air_transport/word2vec_cbow_10000000_100,txt;33459817,06;5784,45;0,0685;1,895;4030,37
27;27;air_transport/word2vec_cbow_10000000_100,txt;34189035,18;5847,14;0,0481;1,9145;4052,84
28;28;air_transport/word2vec_cbow_10000000_100,txt;33417995,71;5780,83;0,0696;1,8939;4022
29;29;air_transport/word2vec_cbow_10000000_100,txt;33862577,27;5819,16;0,0572;1,9058;4084,6
30;30;air_transport/word2vec_cbow_10000000_100,txt;33755032,16;5809,91;0,0602;1,9029;4033,79
31;31;air_transport/word2vec_cbow_10000000_100,txt;34400231,39;5865,17;0,0423;1,9202;4048,7
32;32;air_transport/word2vec_cbow_10000000_100,txt;33780976,04;5812,14;0,0595;1,9036;3996,01
33;33;air_transport/word2vec_cbow_10000000_100,txt;34170479,39;5845,55;0,0487;1,914;4067,95
34;34;air_transport/word2vec_cbow_10000000_100,txt;33318072,94;5772,18;0,0724;1,8912;4013,96
35;35;air_transport/word2vec_cbow_10000000_100,txt;34422996,86;5867,11;0,0416;1,9208;4080,96
36;36;air_transport/word2vec_cbow_10000000_100,txt;33342028,04;5774,26;0,0717;1,8919;4032,29
37;37;air_transport/word2vec_cbow_10000000_100,txt;34496236,16;5873,35;0,0396;1,9227;4079,26
38;38;air_transport/word2vec_cbow_10000000_100,txt;33892919,15;5821,76;0,0564;1,9066;4021,63
39;39;air_transport/word2vec_cbow_10000000_100,txt;34313175,76;5857,74;0,0447;1,9178;4039,73
40;40;air_transport/word2vec_cbow_10000000_100,txt;33802433,58;5813,99;0,0589;1,9042;4066,62
41;41;air_transport/word2vec_cbow_10000000_100,txt;33228919,86;5764,45;0,0749;1,8888;4018,67
42;42;air_transport/word2vec_cbow_10000000_100,txt;33267719,67;5767,82;0,0738;1,8899;4000,33
43;43;air_transport/word2vec_cbow_10000000_100,txt;33973221,26;5828,66;0,0542;1,9088;4060,98
44;44;air_transport/word2vec_cbow_10000000_100,txt;34693915,98;5890,15;0,0341;1,928;4040,28
45;45;air_transport/word2vec_cbow_10000000_100,txt;34398054,42;5864,99;0,0423;1,9201;4084
46;46;air_transport/word2vec_cbow_10000000_100,txt;34073661,13;5837,26;0,0514;1,9114;4072,04
47;47;air_transport/word2vec_cbow_10000000_100,txt;34021344,22;5832,78;0,0528;1,91;4052,12
48;48;air_transport/word2vec_cbow_10000000_100,txt;33679552,81;5803,41;0,0623;1,9009;4051,01
49;49;air_transport/word2vec_cbow_10000000_100,txt;33645215;5800,45;0,0633;1,9;4044,16
0;0;air_transport/word2vec_cbow_10000000_100,txt;23248246,97;4821,64;0,0788;1,8851;3658,2
1;1;air_transport/word2vec_cbow_10000000_100,txt;21987341,48;4689,07;0,1287;1,8371;3610,65
2;2;air_transport/word2vec_cbow_10000000_100,txt;21782242,96;4667,15;0,1369;1,8293;3565,21
3;3;air_transport/word2vec_cbow_10000000_100,txt;23475536,69;4845,16;0,0698;1,8938;3694,79
